time,state_f,state_estimated,drag_effect,state_model_guess,state_model_optimized
81.673378,-2.602112,-54.269749,-51.667637,-6.8694374157890685,-36.529090892510645
81.675323,-2.533936,-54.258373,-51.724437,-6.885177953985841,-36.60470460209534
81.677277,-2.465271,-54.247066,-51.781794999999995,-6.900920048504815,-36.678665984711735
81.679237,-2.35379,-54.236179,-51.882389,-6.91611590979922,-36.75187488393204
81.681183,-2.175049,-54.225307,-52.050258,-6.931394165049987,-36.82322120165336
81.683136,-2.322327,-54.21463,-51.892303,-6.947118364767663,-36.892181353978785
81.685089,-2.588745,-54.204639,-51.615894,-6.961676216815577,-36.96156104311917
81.687042,-2.398712,-54.194935,-51.796223,-6.975827716956613,-37.03012001057754
81.688995,-2.19812,-54.185581,-51.987460999999996,-6.991010246738549,-37.09524702291474
81.690948,-2.542145,-54.176739,-51.634594,-7.006183488725287,-37.158682018971845
81.692902,-2.731537,-54.167927,-51.436389999999996,-7.019308025492354,-37.2244792833759
81.694855,-2.289612,-54.159275,-51.869663,-7.033173548115551,-37.287628636715944
81.696815,-2.109528,-54.15163,-52.042102,-7.048022093289821,-37.34736896943843
81.698761,-2.357727,-54.145004,-51.787277,-7.065155099183073,-37.42700263397911
81.700714,-2.267578,-54.138519,-51.870941,-7.085208281148087,-37.5253639084942
81.702667,-2.055115,-54.132271,-52.077156,-7.10599840732736,-37.62033401971499
81.70462,-2.176636,-54.126904,-51.950268,-7.1268712248713415,-37.712920602129735
81.706573,-2.311188,-54.122387,-51.811199,-7.1465917872102835,-37.80526960013506
81.708527,-2.290588,-54.11845,-51.827862,-7.166557493136952,-37.895114598816576
81.71048,-2.365662,-54.115005,-51.749342999999996,-7.186546983406099,-37.98285447149054
81.712433,-2.399567,-54.111736,-51.712169,-7.205449133742147,-38.07055412951961
81.714386,-2.243561,-54.108616,-51.865055,-7.224458320744879,-38.15598185167909
81.716339,-2.229492,-54.105721,-51.876229,-7.2435692590800445,-38.23905387265745
81.718292,-2.281372,-54.102097,-51.820725,-7.261699390203656,-38.32188670227064
81.720245,-2.061829,-54.097176,-52.035346999999994,-7.279397155987431,-38.40371971153513
81.722198,-1.784821,-54.091145,-52.306324,-7.297454920018773,-38.48315107496437
